Date,27/07/2020,,,,,,,,,,
Time,13-20-50,,,,,,,,,,
,,,,,,,,,,,
PulsePeriod,12000,,,,,,,,,,
PulseDuration,3820,,,,,,,,,,
eLiquidID,Test,,,,,,,,,,
DriveVoltage,3.7,,,,,,,,,,
InLet,,,,,,,,,,,
Name,1 -- 3,,,,,,,,,,
,,,,,,,,,,,
Pulse Count,Puff Count,Pulse Start (ms),Pulse End (ms),Resistance Start (Ω),Resistance End (Ω),Power Start (W),Power End (W),dRdt per J (Ω/(sec J)),Energy in pulse (J),Pressure differential (Pa),Temperature (C)
0,1,0,3,0.58,0.59768,6.199984109,6.01658209,1015.589597,0.017408607,-47.8515625,48.05363985
1,1,12,15,0.5875,0.60408,6.120835376,5.952838669,963.6741621,0.017204986,-44.921875,57.48482169
2,1,24,27,0.59297,0.60843,6.0643722,5.910278559,906.0074507,0.017063877,-50.78125,63.8950781
3,1,36,39,0.59682,0.6123,6.025251807,5.87292305,913.0104428,0.016954899,-57.6171875,69.59799587
4,1,48,51,0.60039,0.6151,5.989424846,5.846188885,872.1818109,0.01686575,-53.7109375,73.72413793
5,1,60,63,0.60352,0.61755,5.958362247,5.822995358,835.6943542,0.016788435,-54.6875,77.33451223
6,1,72,75,0.60576,0.62015,5.936329212,5.798582252,860.5301919,0.016722249,-57.6171875,81.16592986
7,1,85,88,0.60863,0.62187,5.9083364,5.782544235,794.7415049,0.016659505,-57.6171875,83.70055998
8,1,97,100,0.61086,0.62399,5.886767481,5.762898097,790.9270035,0.016600773,-56.640625,86.82463896
9,1,109,112,0.61275,0.62558,5.86861001,5.748250877,775.0380124,0.016554027,-58.59375,89.1676982
10,1,121,124,0.61473,0.62766,5.84970765,5.729201771,783.6389319,0.016499946,-58.59375,92.2328323
11,1,133,136,0.61695,0.62891,5.828658373,5.717814605,726.8871171,0.016453724,-58.59375,94.07486001
12,1,145,148,0.61872,0.63129,5.811984069,5.696258112,766.4986966,0.016399245,-60.546875,97.58208075
13,1,157,160,0.62067,0.63259,5.793724175,5.684552053,728.7603221,0.016356544,-57.6171875,99.49778957
14,1,170,173,0.62242,0.63398,5.777434503,5.672088683,708.5256364,0.016315571,-60.546875,101.5461244
15,1,182,185,0.62371,0.63547,5.765485215,5.658789217,722.3768676,0.016279591,-57.6171875,103.7418214
16,1,194,197,0.6255,0.63717,5.748986065,5.643691297,718.8366198,0.016234565,-63.4765625,106.2469791
17,1,206,209,0.62693,0.63862,5.735872878,5.630877178,721.7110196,0.016197619,-61.5234375,108.3837312
18,1,218,221,0.62793,0.63936,5.726738304,5.624359959,706.6322963,0.016175315,-63.4765625,109.4742116
19,1,230,233,0.62997,0.64048,5.708193697,5.614524706,651.3840877,0.016134874,-62.5,111.1246684
20,1,242,245,0.6308,0.64223,5.700682916,5.599225797,709.8334009,0.01610237,-61.5234375,113.7035072
21,1,255,258,0.63211,0.64326,5.688868683,5.590260211,693.7203641,0.016072759,-63.4765625,115.221338
22,1,267,270,0.63392,0.64352,5.672625542,5.58800159,598.2652677,0.016046394,-63.4765625,115.6044798
23,1,279,282,0.63478,0.64491,5.664940268,5.57595755,632.4025042,0.016018279,-62.5,117.6528146
24,1,291,294,0.63622,0.64567,5.652118424,5.569394247,590.970143,0.015990656,-63.4765625,118.7727675
25,1,303,306,0.63731,0.6467,5.642451528,5.560523865,588.1896062,0.01596424,-66.40625,120.2905983
26,1,315,318,0.63832,0.64724,5.633523599,5.555884654,559.4262879,0.015944907,-59.5703125,121.0863543
27,1,328,331,0.63929,0.64842,5.624975807,5.54577401,573.5530425,0.015918318,-62.5,122.8252284
28,1,340,343,0.63991,0.64951,5.619525845,5.536467157,603.8765087,0.01589729,-63.4765625,124.4314766
29,1,352,355,0.6416,0.6501,5.60472379,5.531442522,535.6342671,0.015869037,-66.40625,125.3009136
30,1,364,367,0.6429,0.65123,5.593390548,5.521844484,525.9100701,0.01583921,-63.4765625,126.9661067
31,1,376,379,0.64384,0.6525,5.585224254,5.511096986,547.6763741,0.015812258,-63.4765625,128.8376068
32,1,388,391,0.64542,0.65328,5.571551522,5.504516874,497.9916408,0.015783397,-53.7109375,129.9870321
33,1,400,403,0.64627,0.65352,5.564223596,5.502495384,459.7314983,0.015770075,-63.4765625,130.3407014
34,1,413,416,0.64655,0.65483,5.56181391,5.491487536,525.6824257,0.015750955,-63.4765625,132.2711465
35,1,425,428,0.64751,0.65624,5.55356795,5.479688503,555.2590765,0.01572239,-63.4765625,134.3489537
36,1,437,440,0.64897,0.65697,5.541073984,5.473599682,509.6869193,0.01569591,-62.5,135.4246979
37,1,449,452,0.64974,0.65727,5.534507316,5.471101349,480.1379631,0.015682992,-64.453125,135.8667846
38,1,461,464,0.65038,0.65761,5.529061139,5.468272659,461.3558435,0.015671201,-63.4765625,136.3678161
39,1,473,476,0.65084,0.65861,5.525153315,5.459969911,496.3650809,0.015653801,-64.453125,137.8414383
40,1,485,488,0.65161,0.65867,5.518624305,5.459472548,451.2973452,0.015643788,-63.4765625,137.9298556
41,1,498,501,0.65217,0.65919,5.513885618,5.45516586,449.1104631,0.015630898,-64.453125,138.6961391
42,1,510,513,0.65249,0.65977,5.511181449,5.450370255,466.0628411,0.015620211,-63.4765625,139.55084
43,1,522,525,0.6534,0.65975,5.503505943,5.450535481,406.8033138,0.015609509,-63.4765625,139.5213675
44,1,534,537,0.65337,0.6606,5.503758641,5.443522227,463.4652451,0.015599875,-63.4765625,140.7739464
45,1,546,549,0.65394,0.66024,5.498961347,5.446490342,403.9168741,0.015597269,-64.453125,140.2434424
46,1,558,561,0.65436,0.66063,5.495431847,5.443275031,402.2413297,0.015587657,-63.4765625,140.818155
47,1,570,573,0.65409,0.66129,5.497700291,5.437842374,462.0375718,0.015583148,-60.546875,141.7907457
48,1,583,586,0.65445,0.66199,5.494676115,5.432092303,484.2445514,0.015570645,-62.5,142.8222812
49,1,595,598,0.65525,0.66124,5.487967621,5.438253559,384.7175252,0.015569865,-65.4296875,141.7170645
50,1,607,610,0.65575,0.66153,5.483783124,5.43586955,371.4532387,0.015560505,-65.4296875,142.144415
51,1,619,622,0.65575,0.66223,5.483783124,5.430123648,416.6581698,0.015552317,-63.4765625,143.1759505
52,1,631,634,0.65595,0.66279,5.482111111,5.425535665,440.0582544,0.015543397,-65.4296875,144.0011789
53,1,643,646,0.65654,0.66312,5.477184609,5.422835661,423.6270892,0.015532529,-63.4765625,144.4874742
54,1,655,658,0.6569,0.66331,5.474182955,5.421282332,412.8548433,0.015526038,-63.4765625,144.7674624
55,1,668,671,0.6571,0.6635,5.472516791,5.419729892,412.3325702,0.015521452,-62.5,145.0474506
56,1,680,683,0.65804,0.66364,5.464699385,5.418586558,361.0880557,0.015508682,-65.4296875,145.2537577
