Date,30/07/2020,,,,,,,,,,
Time,12-39-19,,,,,,,,,,
,,,,,,,,,,,
PulsePeriod,12000,,,,,,,,,,
PulseDuration,3820,,,,,,,,,,
eLiquidID,60:40:00,,,,,,,,,,
DriveVoltage,3.7,,,,,,,,,,
InLet,,,,,,,,,,,
Name,,,,,,,,,,,
,,,,,,,,,,,
Pulse Count,Puff Count,Pulse Start (ms),Pulse End (ms),Resistance Start (Ω),Resistance End (Ω),Power Start (W),Power End (W),dRdt per J (Ω/(sec J)),Energy in pulse (J),Pressure differential (Pa),Temperature (C)
0,1,0,3,0.58,0.59671,7.513764368,7.303352271,590.44491,0.028300693,-76,8
1,1,12,15,0.58785,0.60463,7.413427462,7.207686243,600.8666981,0.027926327,-64,20
2,1,24,27,0.59484,0.6097,7.326311837,7.14775026,537.5204735,0.027645459,-68,27
3,1,36,39,0.59981,0.61357,7.265606331,7.102666906,501.3955653,0.027443402,-76,33
4,1,48,51,0.60318,0.61767,7.225012987,7.055520477,531.2397785,0.027275819,-77,39
5,1,60,63,0.60677,0.62064,7.182265658,7.021757111,511.2481318,0.027129683,-77,43
6,1,72,75,0.60993,0.62292,7.145054897,6.996056208,480.9414953,0.027009522,-77,46
7,1,85,88,0.61267,0.62568,7.113100582,6.965195201,483.8311703,0.026889545,-76,50
8,1,97,100,0.6145,0.62803,7.091917548,6.939132419,504.8638306,0.026799305,-75,54
9,1,109,112,0.61704,0.62965,7.062724189,6.921279017,472.1176149,0.026709446,-80,56
10,1,121,124,0.61941,0.63059,7.03570064,6.910961692,419.6992085,0.026638125,-82,57
11,1,133,136,0.62114,0.63227,7.016104797,6.892598626,418.9624981,0.026565624,-79,60
12,1,145,148,0.62229,0.63449,7.003138944,6.868482298,460.467774,0.026494797,-80,63
13,1,157,160,0.62392,0.6352,6.984843142,6.860804996,426.5426294,0.026445188,-78,64
14,1,170,173,0.62534,0.63682,6.968982207,6.843351863,435.152464,0.026381558,-77,66
15,1,182,185,0.62739,0.63747,6.946211022,6.836373999,382.9098027,0.026324737,-80,67
16,1,194,197,0.62833,0.63901,6.935819288,6.819898489,406.4944576,0.026273421,-82,70
17,1,206,209,0.62975,0.63962,6.920179966,6.813394411,376.2705269,0.026231127,-80,70
18,1,218,221,0.63058,0.6408,6.911071289,6.800847898,390.2287687,0.026189766,-81,72
19,1,230,233,0.6318,0.64164,6.897726074,6.7919446,376.3299047,0.026147271,-81,73
20,1,242,245,0.63207,0.64295,6.894779587,6.778106125,416.615424,0.026115212,-83,75
21,1,255,258,0.63354,0.64308,6.878781661,6.776735917,365.7689553,0.026082039,-82,75
22,1,267,270,0.63493,0.64412,6.86372251,6.765794158,353.0219333,0.026032377,-80,77
23,1,279,282,0.63567,0.64423,6.855732272,6.764638923,329.0420891,0.026014909,-78,77
24,1,291,294,0.63679,0.64537,6.843674262,6.752689672,330.39323,0.025969055,-80,79
25,1,303,306,0.63775,0.64544,6.833372534,6.751957321,296.3621828,0.02594798,-76,79
26,1,315,318,0.63789,0.64658,6.831872789,6.740052791,335.2315921,0.025922378,-80,81
27,1,328,331,0.63795,0.6472,6.831230243,6.733596003,357.0213027,0.025908818,-78,81
28,1,340,343,0.63958,0.64761,6.813820528,6.729332983,310.429065,0.025867423,-80,82
29,1,352,355,0.63976,0.64875,6.811903422,6.717508028,347.8943855,0.025841176,-82,84
30,1,364,367,0.641,0.649,6.798725949,6.71492039,309.9445975,0.025811065,-81,84
31,1,376,379,0.64213,0.64891,6.786761767,6.71585171,262.8926782,0.025789992,-72,84
32,1,388,391,0.64226,0.65026,6.785388057,6.70190898,310.5501172,0.025760737,-80,86
33,1,400,403,0.64219,0.64993,6.786127678,6.705311854,300.3649841,0.02576865,-82,85
34,1,413,416,0.64342,0.6505,6.773154912,6.699436331,275.1368475,0.025732649,-83,86
35,1,425,428,0.64331,0.65137,6.774313058,6.690488253,313.4019723,0.025717771,-82,88
36,1,437,440,0.64377,0.6513,6.769472534,6.691207329,292.8833029,0.025709899,-84,87
37,1,449,452,0.64447,0.65222,6.762119778,6.681768933,301.8168114,0.025677827,-80,89
38,1,461,464,0.64459,0.65277,6.760860909,6.67613912,318.7260924,0.02566467,-82,90
39,1,473,476,0.64518,0.6532,6.754678281,6.671744234,312.7380265,0.025644467,-85,90
40,1,486,489,0.64563,0.6533,6.749970313,6.670722996,299.2175377,0.025633524,-77,90
41,1,498,501,0.64655,0.65358,6.74036553,6.667865194,274.5051415,0.025609721,-84,91
42,1,510,513,0.64628,0.65433,6.74318149,6.660222416,314.4469655,0.025600501,-82,92
43,1,522,525,0.64705,0.65446,6.735156995,6.658899449,289.6494552,0.025582648,-75,92
44,1,534,537,0.64773,0.65484,6.728086291,6.655035327,278.1498364,0.025561762,-80,93
45,1,546,549,0.64779,0.65498,6.727463118,6.653612833,281.3225124,0.025557855,-78,93
46,1,558,561,0.64828,0.65536,6.72237819,6.649754842,277.2038144,0.025540774,-80,93
47,1,571,574,0.64823,0.65514,6.722896708,6.65198787,270.4921322,0.02554603,-84,93
48,1,583,586,0.64963,0.65505,6.708408376,6.652901814,212.3815924,0.025520102,-81,93
49,1,595,598,0.64959,0.65557,6.708821462,6.647624713,234.4104121,0.025510812,-83,94
50,1,607,610,0.64973,0.65618,6.707375884,6.641444929,252.9784015,0.025496248,-82,94
