Date,31/07/2020,,,,,,,,,,
Time,08-54-56,,,,,,,,,,
,,,,,,,,,,,
eLiquidID,Test,,,,,,,,,,
InLet,,,,,,,,,,,
DriveVoltage,3.7,,,,,,,,,,
PulseDuration,3820,,,,,,,,,,
PulsePeriod,12000,,,,,,,,,,
Name,,,,,,,,,,,
,,,,,,,,,,,
Pulse Count,Puff Count,Pulse Start (ms),Pulse End (ms),Resistance Start (Ω),Resistance End (Ω),Power Start (W),Power End (W),dR/dE (mΩ/J),Energy in pulse (J),Pressure differential (Pa),Temperature (C)
0,1,0,3,0.58,0.59708,8.31015414,8.072434851,545.8483016,0.031290745,-90,47.16946655
1,1,12,15,0.58909,0.60478,8.181923647,7.969657398,508.5978681,0.03084952,-124,58.51635721
2,1,24,27,0.59559,0.60961,8.092629831,7.906513018,458.794212,0.030558363,-105,65.63395225
3,1,37,40,0.59971,0.61422,8.037033568,7.847171048,478.2649697,0.030338831,-101,72.42735043
4,1,49,52,0.60446,0.61739,7.973876519,7.806879608,428.9803007,0.030141244,-82,77.09873268
5,1,61,64,0.60783,0.61978,7.929666849,7.776774663,398.3425843,0.029999303,-104,80.62068966
6,1,73,76,0.61122,0.62246,7.885686661,7.743291779,376.5323995,0.029851349,-90,84.56999705
7,1,85,88,0.61306,0.62502,7.862019053,7.711576271,402.0767186,0.029745567,-109,88.34246979
8,1,97,100,0.61602,0.6272,7.824241747,7.684772642,377.4194152,0.029622217,-87,91.55496611
9,1,109,112,0.61745,0.62938,7.806120983,7.658154693,403.9033854,0.029536767,-106,94.76746242
10,1,122,125,0.61983,0.63154,7.776147332,7.631962189,397.9002125,0.029429489,-100,97.9504863
11,1,134,137,0.62236,0.63217,7.744535961,7.624356425,334.1897077,0.029354584,-100,98.87886826
12,1,146,149,0.62334,0.63481,7.73236019,7.592648826,391.8585363,0.029270767,-98,102.7692308
13,1,158,161,0.62497,0.6355,7.712193227,7.584405037,360.4127473,0.029216503,-94,103.7860301
14,1,170,173,0.6271,0.63659,7.685998088,7.571418654,325.6505653,0.029141666,-97,105.3922782
15,1,182,185,0.628,0.63882,7.674983122,7.544988261,372.2031614,0.029070145,-89,108.6784556
16,1,194,197,0.62915,0.63931,7.660954305,7.539205395,349.9549895,0.029032305,-96,109.4005305
17,1,207,210,0.63112,0.64059,7.637041135,7.524140872,327.0269548,0.028957858,-97,111.2867669
18,1,219,222,0.63176,0.64125,7.629304484,7.516396727,328.0525819,0.028928289,-102,112.2593575
19,1,231,234,0.63235,0.64274,7.622186133,7.498972214,359.7469487,0.028881412,-108,114.4550545
20,1,243,246,0.63408,0.64339,7.601390047,7.4913962,322.9586287,0.028827222,-97,115.4129089
21,1,255,258,0.63504,0.64446,7.589898905,7.478958199,327.2933799,0.028781517,-92,116.9896846
22,1,267,270,0.6362,0.6447,7.576060045,7.476174036,295.654569,0.028749767,-95,117.343354
23,1,280,283,0.63701,0.64655,7.566426588,7.454782153,332.5141461,0.028690509,-100,120.069555
24,1,292,295,0.63813,0.64691,7.553146539,7.450633629,306.3800314,0.02865722,-98,120.6000589
25,1,304,307,0.6394,0.64764,7.538144199,7.442235503,287.9857662,0.028612525,-92,121.6758031
26,1,316,319,0.63995,0.64802,7.5316656,7.437871363,282.2486026,0.028591816,-93,122.2357795
27,1,328,331,0.6403,0.64884,7.527548651,7.428471427,298.9568191,0.028565998,-95,123.4441497
28,1,340,343,0.64119,0.6496,7.517100081,7.419780482,294.783194,0.028529442,-96,124.5641026
29,1,352,355,0.64183,0.65039,7.509604414,7.410768002,300.3728907,0.028497911,-92,125.7282641
30,1,365,368,0.64324,0.65089,7.493143152,7.405075206,268.8399046,0.028455597,-94,126.4650752
31,1,377,380,0.64322,0.65177,7.49337614,7.395077099,300.6652013,0.028436946,-92,127.7618627
32,1,389,392,0.64388,0.65288,7.485695162,7.38250429,316.9208148,0.028398261,-92,129.3975833
33,1,401,404,0.64403,0.65293,7.483951681,7.381938954,313.4481464,0.028393851,-91,129.4712644
34,1,413,416,0.64506,0.65364,7.472001676,7.373920508,302.5845442,0.028355711,-92,130.5175361
35,1,425,428,0.64568,0.6545,7.464826851,7.364231323,311.4021803,0.028323501,-95,131.7848512
36,1,437,440,0.64696,0.65453,7.45005781,7.363893788,267.5417669,0.028294648,-96,131.8290598
37,1,450,453,0.64791,0.65473,7.43913414,7.361644343,241.2495148,0.028269487,-93,132.1237843
