Date,31/07/2020,,,,,,,,,,
Time,09-24-45,,,,,,,,,,
,,,,,,,,,,,
PulsePeriod,12000,,,,,,,,,,
PulseDuration,3820,,,,,,,,,,
eLiquidID,70:30:00,,,,,,,,,,
DriveVoltage,3.7,,,,,,,,,,
InLet,,,,,,,,,,,
Name,,,,,,,,,,,
,,,,,,,,,,,
Pulse Count,Puff Count,Pulse Start (ms),Pulse End (ms),Resistance Start (Ω),Resistance End (Ω),Power Start (W),Power End (W),dR/dE (mΩ/J),Energy in pulse (J),Pressure differential (Pa),Temperature (C)
0,1,0,3,0.58,0.5888,8.31015414,8.185953466,279.2979988,0.031507566,-145.5078125,34.96787504
1,1,12,15,0.58452,0.59336,8.245893042,8.123044022,282.747269,0.03126467,-88.8671875,41.6875921
2,1,25,28,0.58879,0.59665,8.186092496,8.078252578,253.0186876,0.031064899,-74.21875,46.53580902
3,1,37,40,0.59131,0.59959,8.15120563,8.038642074,267.7652448,0.030922609,-112.3046875,50.86825818
4,1,49,52,0.59331,0.60166,8.123728575,8.010985276,270.9516753,0.030817303,-102.5390625,53.91865606
5,1,61,64,0.5957,0.60365,8.091135472,7.984576163,258.9187813,0.030704609,-64.453125,56.85116416
6,1,73,76,0.59827,0.60516,8.056378225,7.964652986,225.1621506,0.03060017,-94.7265625,59.07633363
7,1,85,88,0.59931,0.60736,8.042397759,7.93580315,263.7756097,0.030518364,-108.3984375,62.31830239
8,1,98,101,0.60116,0.60894,8.017648215,7.915212338,255.6539308,0.030431764,-115.234375,64.64662541
9,1,110,113,0.60267,0.61002,7.99755986,7.901198979,242.0420096,0.030366629,-97.65625,66.23813734
10,1,122,125,0.60403,0.61196,7.979553004,7.876151057,261.8510313,0.030284395,-83.984375,69.09696434
11,1,134,137,0.60563,0.6124,7.958472006,7.870492163,223.9251147,0.030233322,-88.8671875,69.74535809
12,1,146,149,0.60754,0.61385,7.933451955,7.851900955,209.2867318,0.030150024,-108.3984375,71.88211023
13,1,158,161,0.6078,0.61526,7.930058244,7.833906643,247.7650255,0.030109173,-97.65625,73.95991748
14,1,170,173,0.60918,0.61654,7.912093964,7.817642652,244.9756938,0.030043797,-88.8671875,75.84615385
15,1,183,186,0.61036,0.61795,7.896797629,7.79980484,253.1644665,0.029980511,-89.84375,77.9239611
16,1,195,198,0.6115,0.61832,7.88207588,7.795137471,227.7624568,0.029943478,-104.4921875,78.4692013
17,1,207,210,0.61263,0.61935,7.867537341,7.782173893,224.8172222,0.029890948,-97.65625,79.98703212
18,1,219,222,0.61396,0.62018,7.850494171,7.771758846,208.4554961,0.029838503,-106.4453125,81.21013852
19,1,231,234,0.61456,0.62162,7.842829668,7.75375535,236.996437,0.029789477,-98.6328125,83.33215444
20,1,243,246,0.6153,0.62213,7.833397369,7.747399098,229.5079227,0.029759321,-92.7734375,84.08370174
21,1,255,258,0.61626,0.62309,7.821194627,7.735462615,229.8640495,0.029713215,-90.8203125,85.49837902
22,1,268,271,0.61686,0.62379,7.813587201,7.726782092,233.4740046,0.029682105,-96.6796875,86.52991453
23,1,280,283,0.61807,0.62472,7.798290486,7.715279487,224.4277364,0.029630919,-86.9140625,87.90038314
24,1,292,295,0.61939,0.62599,7.781671323,7.699626833,223.2046271,0.029569279,-103.515625,89.77188329
