Date,30/07/2020,,,,,,,,,,
Time,15/11/1958,,,,,,,,,,
,,,,,,,,,,,
PulsePeriod,12000,,,,,,,,,,
PulseDuration,3820,,,,,,,,,,
eLiquidID,60:40:6% H20,,,,,,,,,,
DriveVoltage,3.7,,,,,,,,,,
InLet,,,,,,,,,,,
Name,,,,,,,,,,,
,,,,,,,,,,,
Pulse Count,Puff Count,Pulse Start (ms),Pulse End (ms),Resistance Start (Ω),Resistance End (Ω),Power Start (W),Power End (W),dRdt per J (Ω/(sec J)),Energy in pulse (J),Pressure differential (Pa),Temperature (C)
0,1,0,3,0.58,0.5919,8.31015414,8.143080589,378.6712215,0.031425678,-88,36
1,1,12,15,0.58562,0.59759,8.230404359,8.06554561,384.5750459,0.031125264,-72,44
2,1,25,28,0.58993,0.60198,8.170273424,8.006726803,389.9919908,0.03089807,-72,50
3,1,37,40,0.59387,0.60476,8.116068165,7.969920962,354.4432758,0.030724239,-75,54
4,1,49,52,0.5966,0.60743,8.078929603,7.934888631,354.0790201,0.030586393,-80,58
5,1,61,64,0.5991,0.60912,8.045216827,7.912873327,328.7406731,0.030479952,-86,61
6,1,73,76,0.60127,0.61136,8.016181418,7.883880857,332.2453976,0.030369119,-80,64
7,1,85,88,0.60389,0.61319,7.981402906,7.860352258,307.3592476,0.030257752,-82,67
8,1,98,101,0.60542,0.61552,7.961232534,7.830597545,334.8540409,0.030162395,-83,70
9,1,110,113,0.60779,0.61758,7.930188718,7.804477802,325.7555185,0.030053213,-87,73
10,1,122,125,0.60944,0.61792,7.908718497,7.80018352,282.6289559,0.030004003,-83,73
11,1,134,137,0.6109,0.61968,7.88981732,7.77802963,293.3944053,0.029925588,-84,76
12,1,146,149,0.61248,0.62141,7.869464147,7.756375663,299.209049,0.029845354,-79,78
13,1,158,161,0.6134,0.62275,7.857661234,7.739685911,313.8538825,0.029790933,-76,80
14,1,170,173,0.61498,0.6237,7.837473415,7.727897067,293.3078291,0.029729858,-78,82
15,1,183,186,0.61594,0.62492,7.825257981,7.712810281,302.5839893,0.02967771,-79,84
16,1,195,198,0.6176,0.62599,7.804225066,7.699626833,283.327665,0.029612357,-82,85
17,1,207,210,0.61872,0.62676,7.790097946,7.69016753,271.9219571,0.029567307,-88,86
18,1,219,222,0.61935,0.62796,7.782173893,7.675472006,291.6261268,0.029524104,-86,88
19,1,231,234,0.62,0.62914,7.774015163,7.661076074,310.0299338,0.029481024,-90,90
20,1,243,246,0.62141,0.62998,7.756375663,7.650860981,291.2210086,0.029427822,-90,91
21,1,255,258,0.62249,0.63051,7.742918603,7.644429749,272.8834614,0.029389835,-84,92
22,1,268,271,0.62323,0.63175,7.733724951,7.629425249,290.3527549,0.029343617,-79,93
23,1,280,283,0.62419,0.63242,7.721830534,7.621342464,280.8350349,0.02930546,-79,94
24,1,292,295,0.62516,0.63267,7.70984932,7.618330885,256.5168937,0.029276824,-81,95
25,1,304,307,0.62572,0.6337,7.702949244,7.605948242,272.9138708,0.029239994,-91,96
26,1,316,319,0.62655,0.6341,7.692745034,7.601150293,258.4612681,0.02921134,-83,97
27,1,328,331,0.62751,0.63467,7.680976241,7.594323666,245.4086743,0.029175823,-83,98
28,1,341,344,0.62763,0.63512,7.679507673,7.588942878,256.8345724,0.029162741,-85,98
29,1,353,356,0.62819,0.63541,7.672661776,7.585479298,247.7434632,0.029143049,-81,99
30,1,365,368,0.62823,0.63608,7.67217325,7.577489311,269.510727,0.029126855,-84,100
31,1,377,380,0.62978,0.63582,7.653290674,7.580587904,207.5836202,0.029096708,-86,99
32,1,389,392,0.62938,0.63741,7.658154693,7.561678356,276.2309197,0.029069881,-84,102
33,1,401,404,0.63015,0.63724,7.648796955,7.563695626,244.0127326,0.029055861,-91,101
34,1,413,416,0.62985,0.63742,7.652440106,7.561559727,260.5068246,0.02905874,-84,102
35,1,426,429,0.63099,0.63713,7.63861456,7.565001493,211.4404675,0.029038907,-84,101
36,1,438,441,0.63147,0.63705,7.632808211,7.565951497,192.2173931,0.029029631,-86,101
37,1,450,453,0.63066,0.63806,7.642611551,7.553975176,254.9484051,0.029025481,-82,103
38,1,462,465,0.63095,0.63867,7.639098821,7.5467603,266.16109,0.029004991,-84,103
