Date,30/07/2020,,,,,,,,,,
Time,15-49-31,,,,,,,,,,
,,,,,,,,,,,
eLiquidID,60:40:6% H20,,,,,,,,,,
InLet,,,,,,,,,,,
DriveVoltage,3.7,,,,,,,,,,
PulseDuration,3820,,,,,,,,,,
PulsePeriod,12000,,,,,,,,,,
Name,,,,,,,,,,,
,,,,,,,,,,,
Pulse Count,Puff Count,Pulse Start (ms),Pulse End (ms),Resistance Start (Ω),Resistance End (Ω),Power Start (W),Power End (W),dRdt per J (Ω/(sec J)),Energy in pulse (J),Pressure differential (Pa),Temperature (C)
0,1,0,3,0.58,0.58918,8.31015414,8.180673819,291.4518746,0.031497481,-53,15
1,1,12,15,0.58422,0.59471,8.250127351,8.104604599,335.813917,0.031237538,-44,23
2,1,24,27,0.58901,0.59771,8.183034925,8.06392632,280.3585085,0.031031696,-51,27
3,1,37,40,0.59209,0.60068,8.140467498,8.024055072,278.2254891,0.030874238,-73,32
4,1,49,52,0.59439,0.60424,8.108967851,7.976779758,320.5985938,0.030723778,-100,37
5,1,61,64,0.5969,0.6053,8.074869159,7.962810839,274.2233141,0.030631969,-102,38
6,1,73,76,0.59931,0.6075,8.042397759,7.933974323,268.3937313,0.030514871,-105,42
7,1,85,88,0.60069,0.60936,8.023921492,7.909756796,284.8850676,0.030433326,-121,44
8,1,97,100,0.60254,0.6104,7.99928536,7.896280146,258.8887602,0.03036053,-108,46
9,1,109,112,0.6044,0.61199,7.974668102,7.875764965,250.7074711,0.030274327,-92,48
10,1,122,125,0.60575,0.61367,7.95689542,7.854204053,262.2586029,0.0301992,-99,50
11,1,134,137,0.60695,0.61504,7.941163854,7.836708833,268.452039,0.030135737,-95,52
12,1,146,149,0.60862,0.61585,7.919373995,7.82640156,240.4035483,0.030074431,-81,54
13,1,158,161,0.60986,0.61704,7.9032719,7.811307858,239.2149432,0.030014847,-99,55
14,1,170,173,0.61042,0.61882,7.896021429,7.788839082,280.3917673,0.029958084,-134,58
15,1,182,185,0.61195,0.62004,7.876279763,7.773513646,270.649074,0.029891105,-98,60
16,1,194,197,0.61271,0.62089,7.866510096,7.762871686,274.017397,0.029852119,-81,61
17,1,207,210,0.61445,0.62142,7.844233706,7.756250846,233.9167509,0.029796925,-87,62
18,1,219,222,0.6155,0.62268,7.830851992,7.740555985,241.4144122,0.029741389,-97,64
19,1,231,234,0.61701,0.62301,7.811687656,7.736455917,202.0409216,0.029696954,-89,64
20,1,243,246,0.61771,0.62395,7.802835313,7.724800707,210.4000701,0.029657785,-96,65
